,Simplified,Pinyin,Meaning
0,用来,yònglái,"in order to, so as to"
1,修,xiū,"embellish, decorate, repair, mend, overhaul, build, construct, trim, prune"
2,机场,jīchǎng,"landing field, flying field, airfield, airport, airdrome, field, aerodrome"
3,中东,zhōngdōng,Middle East
4,不用,búyòng,need not
5,妹妹,mèimèi,"little_sister, sis, younger sister, little sister, sister"
6,顾问,gùwèn,"counsellor, advisor, councillor, friend, consultant, counsellorship, counselorship, adviser, counselor"
7,上市,shàngshì,go/appear on market
8,退休,tuìxiū,"to retire, to go into retirement, to step down"
9,肯,kěn,be willing/ready to
10,早,zǎo,"early, premature"
11,权益,quányì,rights and interests
12,店,diàn,"shop, store, inn"
13,够,gòu,quite
14,决定,juédìng,"decision, resolution"
15,审查,shěnchá,"examine, investigate"
16,轻,qīng,"light, agile, alert, easy, simple, rash, reckless, unimportant, frivolous, slight, neglect"
17,处,chù,m.[general]
18,望,wàng,"gaze into distance, observe"
19,年纪,niánjì,"years, old age, age"
20,交易,jiāoyì,"deal, trade, transaction"
21,房间,fángjiān,"apartment, aspect, houseroom, room, chamber, bedroom"
22,性格,xìnggé,"fibre, make-up, mettle, humor, nature, complexion, capacity, mentality, mould, mold, being, streak, temperament, personality, character, fiber, disposition, strain, makeup, make"
23,毕竟,bìjìng,"after all, when all is said and done"
24,词典,cídiǎn,"lexicon, dictionary"
25,平衡,pínghéng,balance
26,哦,ó,softly chant (poem); recite (poem) with cadence
27,苦,kǔ,"be troubled by, suffer from, cause sb. suffering, bitter"
28,拉,lā,"slit, press-gang, help, solicit, lend a helping hand, canvass, draw, zoom, transport by vehicle, pull, release, press, cut, schlep, play (bowed instruments), tote, tug, gash, tow, bend, snake, schlepp, move (troops), solicitation, haul, chat, solicit (business), give a helping hand, drag out, force, play, slash, drum_up, claw, implicate, overstretch, empty the bowels, drag, trail, drag"
29,大小,dàxiǎo,"calibre, measurement, admeasurement, bulk, proportion, magnitude, extent, degree of seniority, dimension, girth, size, adults and children"
30,佳,jiā,"fine, beautiful, distinguished"
31,保留,bǎoliú,"continue to have, retain, hold back, reserve"
32,玩具,wánjù,"yo-yo, bauble, plaything, toy, teether, knickknack"
33,密切,mìqiè,"osculate, intimate, close"
34,不过,búguò,"only, merely"
35,打开,dǎkāi,"unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop"
36,南,nán,"Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern"
37,乱,luàn,"indiscriminate, riot, mix up, arbitrary, confused, throw into diorder, confuse, jumble, confusion, random, mishandle, in a turmoil, in a confused state of mind, snarl, in disorder, disturb"
38,予以,yūyǐ,give
39,供应,gōngyìng,supply
40,文明,wénmíng,"civilization, culture"
41,按,àn,"according to, in accordance with"
42,相处,xiāngchǔ,get along (with one another)
43,供应,gōngyìng,supply
44,相处,xiāngchǔ,get along (with one another)
45,消费,xiāofèi,expenditure
46,激烈,jīliè,"drastic, fierce, heated, acute, sharp, intense"
47,付出,fùchū,"pay, expend"
48,竞争,jìngzhēng,compete
49,基金,jījīn,"finances, endowment fund, foundation, fundation, treasury, fund, corpus, endowment, exchequer, investment firm, investment trust, investment company"
50,好处,hǎochù,"pull, profit, advantage, stead, benefit, virtu, welfare, virtue, good, behoof, goodness, gain, pap, beauty, beaut"
51,作家,zuòjiā,"penster, scribe, ink-slinger, pen, inkslinger, writer, wright, novelist, litterateur, literator, tragedian, composer, author, penman, biobibliography, bookman"
52,若是,ruòshì,"conj.: if, supposing"
53,金钱,jīnqián,"pewter, splosh, green, Oscar, siller, gelt, tin, coin, roll, dollar sign, funds, dollar mark, shekels, wealth, lucre, pecuniary, dinero, bankroll, dough, scratch, bread, means, moolah, shekel, shiner, cabbage, kale, spondulicks, pelf, oof, money, loot, wampum, brass, dollar"
54,落实,luòshí,"fix/decide in advance, ascertain, make sure, fulfill, implement, put into effect"
55,现有,xiànyǒu,"now available, existing"
56,等于,děngyū,"be equal to, tantamount to, equal, be equal, amount, reach, be, be equivalent to"
57,懂得,dǒngde,"experience, know, live, understanding, understand, twig, gaum, grasp"
58,改进,gǎijìn,improve
59,分配,fēnpèi,"distribute, allot, assign"
60,购物,gòuwù,shopping
61,世纪,shìjì,"one C, centred, C, century, age, hundred, 100"
62,共识,gòngshì,"wavelength, common understanding, consensus"
63,分配,fēnpèi,"distribute, allot, assign"
64,航空,hángkōng,"air, aerospace, aerial, air travel, air power, aeronautical, navigation, voyage, aviation, aeronautic"
65,累积,lěijī,accumulate
66,法规,fǎguī,"rule of law, proscription, ordinance, codification, laws and regulations, law, legislation, interdiction, rule, code, statutes, statute, canon, legislative act, law and regulations, prescription, prohibition, ban"
67,程序,chéngxù,"rules of order, parliamentary law, instruction, process, procedure, agenda, instance, parliamentary procedure, system, order, proceeding, programme, method, sequence, course, program"
68,购物,gòuwù,shopping
69,贡献,gòngxiàn,contribution
70,特质,tèzhí,"attribute, distinctive feature, make-up, particularity, ethos, a speciality, point, lineament, colour, identification, property, distinction, thing, speciality, difference, specialty, character, idiosyncrasy, feeling of identity, distinctiveness, specialness, makeup, spot, dimension, peculiarity, quality"
71,任务,rènwù,"imperative, assignment, cue, duty assignment, task, service, chore, labor, errand, job, lookout, undertaking, mission, military mission, duty, project, role"
72,民意,mínyì,"public_opinion, popular will"
73,轻松,qīngsōng,"light, relaxed"
74,军事,jūnshì,"war, martial, military affairs, legion, military"
75,野生,yěshēng,"desert, wild, godforsaken, waste, feral, uncultivated"
76,道,dào,m.[event]
77,形容,xíngróng,"characterize, description, describe"
78,展现,zhǎnxiàn,unfold before one's eyes
79,挑战,tiǎozhàn,a challenge to battle/contest
80,河,hé,"watercourse, stream, Yellow River, fluvial, river, drink"
81,起,qǐ,"to run up, to lift, to rise"
82,满,mǎn,"quite, very"
83,辆,liàng,m.[general]
84,球,qiú,ball
85,同,tóng,"together, in common"
86,其次,qícì,"conj.: next, second"
87,统治,tǒngzhì,"dominate, rule"
88,跳,tiào,"ricochet, make omissions, sell grain, vault, hop, bounce, bound, omission, omit, palpitate, move up and down, skip over, beat, take, spring, skip, dance, hurdle, skip (over), jump, leap"
89,严格,yángé,"rigorously enforce, rigorous, tight, grim, strict"
90,想起,xiǎngqǐ,"retrieve, think back, envisage, hit, echo, remember, think_of, call to mind, recall, recollect, think of"
91,楼,lóu,"storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building"
92,投资人,tóuzīrén,investor
