,Simplified,Pinyin,Meaning
0,情报,qíngbào,"(spy) intelligence, information-gathering"
1,前来,qiánlái,come
2,飞弹,fēidàn,"doodlebug, guided missile, V-1, flying bomb, stray bullet, buzz bomb, missile, missilery, robot bomb, payload"
3,虎,hǔ,tiger
4,寂寞,jímò,be lonely
5,专题,zhuāntí,special subject/topic
6,排名,páimíng,put names in order
7,怎样,zěnyàng,"no matter how, in any way, in a certain way, how?, what, how"
8,案例,ànlì,"moot, precedent, common law, example of case, case, case law"
9,传送,chuánsòng,"transmit, deliver"
10,排名,páimíng,put names in order
11,允许,yǔnxǔ,"permit, allow"
12,认定,rèndìng,"firmly believe, set one's mind on sth."
13,威胁,wēixié,threat
14,大声,dàshēng,"loud, loud voice"
15,传送,chuánsòng,"transmit, deliver"
16,当做,dāngzuò,"consider/treat as, function, consider, regard_as, regard as, serve, consider as, look upon as, treat as"
17,经销商,jīngxiāoshāng,"dealership, bookdealer, manufacturer's agent, dealer, book seller, stockist, outlet, franchiser, franchisee"
18,将近,jiāngjìn,almost
19,战,zhàn,"war, warfare, battle"
20,爱心,àixīn,"liking, pity, love, benevolence, mercy, fondness, commitment"
21,回国,huíguó,return to one's country
22,跑到,pǎodào,run to
23,过来,guòlái,"come over/up, up, come over, come up, come_over, come here"
24,印度,yìndù,"Hindustan, Ind, India, Indic, Bharat"
25,音,yīn,"voice, rhyme, news, D, blast, F, sound, tone, aspirate, tidings, asterisk, pure tone"
26,待遇,dàiyū,treatment (salary/etc.)
27,开会,kāihuì,hold/attend meeting
28,身分,shēnfèn,"dignity, status, position, capacity, individuality, identity"
29,存,cún,"harbour, keep, deposit (money), gather, harbor, cherish, accumulate, existence, live, leave with, retain, reserve, save, consist, accumulation, preserve, survival, store, survive, check (luggage), collect, deposit, place, bank, check, exist, be in stock, remain on balance"
30,留学,liúxué,study abroad
31,重要性,zhòngyàoxìng,"moment, eminence, significance, importance, essentiality, ponderance, amount, belongingness, emphasis, magnitude, meaning, account, consequence, gravity, matter, momentousness, distinction, import, accent, essentialness, mark, weight, value, signification, consideration, fundamentality, weightiness, vitalness, stress, prominence, heft, preeminence, materiality, note"
32,时机,shíjī,"moment, day, an occasion, occasion, go, an opportune moment, opportunity, conjunction, conjuncture, juncture, a suitable (or right) time, turn, opportune moment"
33,国科会,guókēhuì,The National Science Council
34,时刻,shíkè,"moment, occasion, juncture, sand, hour, time"
35,节,jié,m.[event]
36,开会,kāihuì,hold/attend meeting
37,遭到,zāodào,"endure, encounter, meet with, run into, suffer, soak_up"
38,不已,bùyǐ,"incessantly, endlessly"
39,中油,zhōngyóu,Chinese Petroleum Corporation
40,景气,jǐngqì,"conjuncture, activity, boom, prosperity"
41,补充,bǔchōng,"supply, supplement, augment, replenishment, complement, eke, fill again, accompany, add, renew, replenish, implement, stock, recruit, refill"
42,公主,gōngzhǔ,princess
43,千万,qiānwàn,by all means; absolutely
44,公布,gōngbù,"promulgate, announce, publish"
45,猪,zhū,"piggy, porcine, pig, porker, hoggery, Sus scrofa, piggish, hog, piggery, swine"
46,潜力,qiánlì,"bottom, possibility, ability, potency, capability, capableness, potentiality, potential, potential(ity), latent capacity"
47,黄金,huángjīn,gold
48,单元,dānyuán,"module, unit, unit of teaching materials, residential unit"
49,街道,jiēdào,"neighborhood, mews, gate, residential district, neighbourhood, street"
50,略,luè,"a little bit, cursorily, any, something, slightly, somewhat, a little, poco, a bit"
51,财产权,cáichǎnquán,"estate, property_right, [Law] the property right, the property right, property right"
52,地理,dìlǐ,"geographical, geographic, geographics, geographical features of a place, geography"
53,周,zhōu,Surname
54,到达,dàodá,"find, arrive at, go_into, get_in, go, come, show, hit, strike, arrive, fetch_up, range, show_up, gain, come_to, win, reach, come to, attain, lead, go_down, come_in, arrival, get_at, get to, get, touch, make, come_through, arrive_at, land"
55,电信局,diànxìnjú,The Directorate of Telecommunications
56,促销,cùxiāo,"merchandise, sell"
57,工程师,gōngchéngshī,"technologist, engineer, applied scientist"
58,确实,quèshí,definitely true/real/certain/reliable
59,远距,yuǎnjù,distant
60,惊人,jīngrén,"alarming, whacking, astounding, spectacular, amazing, astonishing"
61,为,wèi,"because of, for (someone or something)"
62,促销,cùxiāo,"merchandise, sell"
63,彩色,cǎisè,"colour, chromatic, multicolour, colorful"
64,真理,zhēnlǐ,"god, true, gospel truth, verity, true statement, truism, gospel, truth, veritas"
