,Simplified,Pinyin,Meaning
0,白人,báirén,"whity, Caucasian, whitey, white man, buckra, white people, griffin, White, white race, haole, honky, gryphon, white person, white_man, paleface"
1,奖章,jiǎngzhāng,"medal, decoration"
2,用餐,yòngcān,"feed, dine, sup, eat a meal, have a meal"
3,机密,jīmì,top secret
4,一大早,yīdàzǎo,at dawn
5,不得已,bùdéyǐ,have no alternative
6,本性,běnxìng,"suchness, conscience, instinct, essentiality, mettle, inbeing, nature, self, natural disposition, natural character, sense, natural instincts, inwardness, interior, inherent quality"
7,大专院校,dàzhuānyuànxiào,community colleges
8,史语所,shǐyǔsuǒ,Institute of History and Philology
9,党员,dǎngyuán,Party member
10,点点,diǎndiǎn,det.: a tiny bit
11,人手,rénshǒu,"hired man, manpower, hired hand, hand"
12,总体,zǒngtǐ,"population, gross, entirety, macrocosm, ensemble, wholeness, collectivity, totality, oneness, whole, universe"
13,认,rèn,"recognize, know, enter into a certain relationship with, admit, own up, accept as unavoidable, undertake to do sth."
14,操,cāo,"grasp, hold"
15,关系,guānxì,"concern, affect, to matter"
16,甄选,zhēnxuǎn,"select, pick"
17,蔓延,mànyán,"spread out, extend"
18,夺得,duódé,"strive for, contend for, compete for, carry off"
19,云,yún,say
20,远东,yuǎndōng,Far East
21,调高,tiáogāo,transfer sth. to higher agency
22,随地,suídì,"anyplace, everywhere, anywhere"
23,弊端,bìduān,"rigging, irregularity, malpractice, disadvantage, corrupt practice, abuse"
24,积分,jīfēn,"integration, score, integral calculus, integral_calculus, integral, total credits earned by student"
25,课堂,kètáng,classroom
26,蒙古,ménggǔ,Mongolia
27,摘,zhé,"pick, pluck, make extracts"
28,欧洲人,ōuzhōurén,European
29,灯具,dēngjù,lamps and lanterns
30,调高,tiáogāo,transfer sth. to higher agency
31,劳保,láobǎo,labor insurance
32,买进,mǎijìn,"buy, purchase"
33,意识到,yìshìdào,"smell, be conscious, be aware of, sense, aware of, awake to, appreciate, be conscious of, realize, be conscious/aware of"
34,渴望,kěwàng,thirst/long for
35,麦克风,màikèfēng,"microphone, mike"
36,发放,fāfàng,"provide, grant, extend"
37,节点,jiédiǎn,"knob, knot, node"
38,违建,wéijiàn,non-conforming building
39,农田,nóngtián,"country, farming area, farmland, soil, cultivated land, cropland"
40,遊览车,yóulǎnchē,"charabanc, coach, tourist coach, tourer"
41,接待,jiēdài,"receive (guests), serve (customers)"
