,Simplified,Pinyin,Meaning
0,探索,tànsuǒ,"explore, probe"
1,滋味,zīwèi,"relish, richness, tang, sapidity, sapor, tinge, mouthful, savor, tasting, smack, flavor, savour, zest, taste, flavour"
2,血管,xiěguǎn,"afferent, vas, vena, blood_vessel, vessel, vein, blood vessel"
3,解,jiě,"separate, divide, cut apart, untie, undo, explain, interpret, dissolve"
4,筹备处,chóubèichù,preparatory/arrangements committee
5,团结,tuánjié,"unite, rally"
6,开拓,kāituò,"open up, develop, enlarge/expand (territory/etc.)"
7,喜悦,xǐyuè,"happy, joyous"
8,开拓,kāituò,"open up, develop, enlarge/expand (territory/etc.)"
9,龙,lóng,"dragon, dinosaur"
10,团结,tuánjié,"unite, rally"
11,价钱,jiàqián,"cost, monetary value, rate, price"
12,尽速,jǐnsù,as quickly/soon as possible
13,领导人,lǐngdǎorén,leader
14,慢性,mànxìng,"chronic, slow (in taking effect)"
15,台商,táishāng,Taiwan merchants
16,不致,búzhì,without resulting in
17,打工,dǎgōng,"work part-time while studying in college, work as an employee, etc."
18,创,chuàng,"initiate, create, start doing, achieve ... for the first time, initiate (sth.)"
19,限,xiàn,"set a limit, restrict"
20,公营,gōngyíng,publicly owned/operated
21,根本,gēnběn,"essence, foundation"
22,行,xíng,m.[proximation]
23,珍惜,zhēnxí,"treasure, value, cherish, foster, appreciate, hold dear, prize, care for"
24,容量,róngliàng,"volume, measure of capacity, can, capability, capacity (of container), capacity, bulk, volumetric, canful, content"
25,园区,yuánqū,park
26,抬头,táitóu,"raise one's head, gain ground, improve, go up (in price)"
27,空地,kòngdì,"gap, area, open, vacant lot, clear, open ground/space, vacancy, open ground, building site, open space, space, frontage, sandlot, clearing, opening"
28,所长,suǒzhǎng,head of an institute/etc.
29,喜悦,xǐyuè,"happy, joyous"
30,停车,tíngchē,park the car
31,马来西亚,mǎláixīyǎ,"Malaya, Malaysia(country in Asia), Malaysia"
32,停车,tíngchē,park the car
33,国防,guófáng,"national defence, national defense"
34,带有,dàiyǒu,"have, partake of"
35,淘汰,táotài,"weed out, competition, eliminate through selection, supersede, superannuate, weed, eliminate through selection or competition, screen_out, eliminate through competition, eliminate through selection/competition, fall into disuse, die out, eliminate, comb out, weed_out, selective"
36,抬头,táitóu,"raise one's head, gain ground, improve, go up (in price)"
37,注音,zhùyīn,phonetic symbols
38,实用,shíyòng,"practical, pragmatic, functional"
39,梦想,mèngxiǎng,fond dream
40,奋斗,fèndòu,"struggle, fight, strive"
41,颇为,pǒwéi,"rather, somewhat"
