,Simplified,Pinyin,Meaning
0,嘿,hēi,hey!
1,罹患,líhuàn,"have, suffer from, suffer from an illness"
2,鼻子,bízi,"nasal, hooter, nozzle, snoot, sneezer, boko, schnozzle, conk, smeller, snout, beezer, proboscis, olfactory organ, snitch, nose, olfactory"
3,击出,jíchū,"strike, throw, pick up"
4,大象,dàxiàng,elephant
5,公立,gōnglì,"public, established and maintained by the government"
6,中部,zhōngbù,"central section, middle"
7,退出,tuìchū,"withdraw from, quit"
8,生命力,shēngmìnglì,"breath, animation, libido, lifeblood, Shakti, vitality, life-force, vital_force, vital force, life principle, juice, vital principle"
9,任意,rènyì,"willfully, at_will, arbitrarily"
10,叙述,xùshù,"narrate, recount, relate"
11,沙滩,shātān,sandy beach
12,多元,duōyuán,"multiplex, multicomponent, multivariate, poly-"
13,老人家,lǎorénjiā,"parent, parents, a respectful form of address for an old person, old person"
14,深处,shēnchù,"depth, bowel, recesses, profound, oceanic abyss, depths, deep, recess"
15,吵,chǎo,shout for something
16,次,cì,"det.: next, second"
17,企业家,qìyèjiā,"entrepreneur, industrial, big businessman, undertaker, enterpriser, business man"
18,时段,shíduàn,"slot, time slot, period of time"
19,放大,fàngdà,"megascopic, blow_up, magnify, blow up, amplify, enhance, enlarge, enlargement"
20,派,pài,m.[kind]
21,宣告,xuāngào,"declare, proclaim"
22,差不多,chābùduō,"almost, about"
23,海域,hǎiyū,"water, waters, maritime space, sea area"
24,烤,kǎo,"oven broil, warm (hands, bake, feet) near fire, torrefy, roast, scallop, warm (hands/feet) near fire, parch, crisp, grill, warm near fire, broil, toast"
25,奇蹟,qíjī,"sign, prodigy, mirabilia, marvel, phenomenon, wonder, miracle, theurgy"
26,播放,bòfàng,"broadcast, transmit"
27,操场,cāochǎng,"schoolyard, school ground, school yard, drill ground, sportsground, playing field, playground, sports ground"
28,播放,bòfàng,"broadcast, transmit"
29,伤,shāng,"injure, wound, fall ill from, damage, harm"
30,节奏,jiézòu,"pacing, cadency, musical rhythm, pulse, speech rhythm, rhythm, regular recurrence, pulsation, beat, pace, movement, tune, cadence, clip, tempo"
31,汇率,huìlù,"interchange, exchange rate, rate of exchange, exchange, exchange_rate"
32,提起,tíqǐ,"mention, speak of"
33,废水,fèishuǐ,"drainage, liquid waste, wastewater, sewer water, effluent, waste water"
34,遇,yū,"meet, encounter, treat, receive"
35,环,huán,"ring, link"
36,蚂蚁,mǎyǐ,"emmet, pismire, ant, carpenter ant"
37,精力,jīnglì,"stamina, get-up, birr, spirits, vigor, energy, cheer, vinegar, vim, whiz, pride, starch, get-up-and-go, mercury, zing, ginger, sap, verve, zip, git-up, pizazz, power, sinew, go, dynamism, oomph, vigour, foison, ambition, moxie, gimp, peppiness, pazazz, pep, pizzaz, snap, stingo, spirit, drive, pith, pizzazz, last, push, steam"
38,上任,shàngrèn,"take up an official post, assume post, incept, assume office"
39,全面,quánmiàn,omnibearing
40,上台,shàngtái,enter
41,水质,shuǐzhí,water quality
42,陷阱,xiànjǐng,"sweetener, pit, pitfall, hook, lure, trap, cobweb, shoal, trapan, booby_trap, noose, come-on, booby-trap, fall-trap, ambush, net, snare, quicksand, springe, decoy, trepan, mesh, bait, gin"
43,变数,biànshù,"variant, variable, pronumeral, variate, parameter, random variable"
44,规画,guīhuà,"program, plan"
45,粮,liáng,"grain tax in kind, provisions, food, viand, grain"
46,侵略,qīnluè,invade
47,西部,xībù,"western part, West, westward, west, the west"
48,好手,hǎoshǒu,"expert, professional, shake, good hand, past master"
49,告知,gàozhī,"acknowledge, expose, divulge, disclose, intimation, notify, impart, inform, communicate, apprize, notification, advise, give notice, assure, reveal, let on, tell, discover, acquaint, let out, send word, declare, instruct, apprise, break, give away, bring out"
50,退,tuì,"retreat, retire, decline, ebb"
51,交易所,jiāoyìsuǒ,"trading_post, rialto, floor, exchange (place), exchange, securities industry, market"
52,干,gān,dry
53,留学生,liúxuéshēng,"student studying abroad, returned student"
54,修饰语,xiūshìyǔ,"adjunct, qualifier, attributive, epanorthosis, modifier"
55,容纳,róngnà,"have capacity for, receive, admit, take, accommodate, store, recipient, seat, hold, accept, carry, bear, contain, have a capacity of"
56,很少,hěnshǎo,"little, few, not much/many"
57,挖掘,wājué,"excavate, unearth"
58,侵略,qīnluè,invade
59,近,jìn,approach/reach (a particular level or state)
