,Simplified,Pinyin,Meaning
0,回家,huíjiā,return home
1,独立,dúlì,stand alone
2,英国,yīngguó,"Britain, Great_Britain, England, chapel, Great Britain, English, UK, reeve, John_Bull"
3,投资,tóuzī,invest
4,理论,lǐlùn,theory
5,面临,miànlín,"have, face, confront, envisage, flank, present, be faced with, be up against, bide, meet"
6,选手,xuǎnshǒu,"participant, basketeer, athlete selected for a sports meet, basketball player, jock, contestant, cap, cager, athlete, player, champ, performer, player selected as contestant"
7,分钟,fēnzhōng,m.[standard]
8,内部,nèibù,"entrails, bowel, interior, inner, within, bosom, inside, innards, internal, inward"
9,西方,xīfāng,"the Occident, West, New World, occidental, westward, west, the West, the west, Hesperian, occident, Western, sunset, western hemisphere, western"
10,人家,rénjiā,"I (used by females), dwelling, I, sb. else, sb. else's house, family, household"
11,准备,zhǔnbèi,"prepare, get ready"
12,眼睛,yǎnjīng,eye
13,如,rú,"conj.: if, supposing"
14,眼,yǎn,"eye, small hole, aperture, salient/weighted point, salient/weighted point"
15,离开,líkāi,"leave, depart/deviate from"
16,竞争,jìngzhēng,competition
17,专利,zhuānlì,patent
18,成果,chéngguǒ,"product, achievement, outcome, gain, production, fruit, positive result, progeny, job"
19,活,huó,"alive, live, vivid, save (sb.'s life), activate, save, be"
20,心情,xīnqíng,"cognitive state, cue, frame of mind, form, stomach, pulse, humor, feeling, temper, state of mind, cheer, humour, frame/state of mind, mood, vein, spirit, feelings, frame, frame_of_mind, habit of mind, mind, tune"
21,介绍,jièshào,"introduce, present, recommend, suggest, let know, brief"
22,现场,xiànchǎng,"scene (of an incident), location, site, locale, scene of a crime, locality, live, scene, spot, field"
23,突然,túrán,"suddenly, presto, unexpectedly, abruptly, at once, all_at_once, all together, all of a sudden, all at once"
24,客户,kèhù,"clientage, custom, customer, client, business, patronage, clientele"
25,间,jiān,"locality, room"
26,印象,yìnxiàng,"effect, mark, impress, embossment, impressional, image, imprint, engram, sound, intuition, impression"
27,花,huā,"spend, expend, cost"
28,海,hǎi,"water, foam, bottom, main, huge group of people, Surname, sea catfish, the sea, sea, mare, drink, fishpond, briny, great capacity, Neptune, billow, huge group of things, depth, waters, pond, wave, brine, big lake"
29,真正,zhēnzhèng,"genuine, true, real"
30,保持,bǎochí,"keep, maintain, preserve"
31,时期,shíqí,"epoch, season, date, period_of_time, phase, day, occasion, estate, period, length, period (of time), phase angle, stage, conjuncture, chapter, times, era, leg, guardianship"
32,层,céng,m.[proximation]
33,保持,bǎochí,"keep, maintain, preserve"
34,方便,fāngbiàn,convenient
35,帮助,bāngzhù,"aid, bridge_over, help, bestead, bring_on, tide_over, serve, support, facilitate, accommodate, carry_through, assist, administer, attend_to, assistance, befriend, further, favour"
36,基础,jīchǔ,"base, foundation"
37,个人,gèrén,"individual person, man_jack, personal, individual (person), man jack, individual, individuality, identity"
38,新竹,xīnzhú,Hsin Chu(city in Taiwan)
39,李,lǐ,"plum, Lee, Surname, Li"
40,生,shēng,"give birth to, bear, grow, get, have, cause to happen, make (a fire), exist, live"
41,图书馆,túshūguǎn,library
42,她们,tāmen,they (female)
43,美元,měiyuán,m.[standard]
44,读,dú,"study, read, attend school, take, read aloud, read (aloud), peruse"
45,以来,yǐlái,since
46,或许,huòxǔ,"possibly, in all probability, peradventure, conceivably, mayhap, likely, perhaps, perchance, probably, maybe, haply, in all likelihood, belike"
47,课,kè,"subject, course, class"
48,病人,bìngrén,"shut-in, patient, subject, sufferer, case, valetudinarian, invalid"
49,实验,shíyàn,"experiment, test"
50,有时候,yǒushíhòu,"from time to time, on_occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while"
51,办理,bànlǐ,"handle, manage, attend, conduct, enact, transact, transaction"
52,部门,bùmén,"category, section, department, service, instrumentality, branch, realm, sector, ministry, province, divisional, classification, departmental, division"
53,类似,lèisì,"analogize, conform, analogic, be similar to, resemble, similar, analogous"
54,广告,guǎnggào,advertisement
55,送,sòng,"accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize"
56,够,gòu,be enough/sufficient/adequate
57,新加坡,xīnjiāpō,Singapore
58,担心,dānxīn,"worry, feel anxious"
59,商业,shāngyè,"business enterprise, commercial, people, mercantilism, commercial pursuit, commercial enterprise, business sector, merchantry, trade, mercantile pursuit, business, commerce"
60,掌握,zhǎngwò,"take ... into one's hands, know well, master, have in hand, grasp, command, possess, control"
61,两岸,liǎngàn,"both sides of a river, both sides of the Taiwan Straits (I.e., Chinese Mainland and Taiwan)"
62,门,mén,"door, gate"
63,方案,fāngàn,"formula, plan, scheme, projection, programme, proposal, schema, strategy, project, design, program"
64,至少,zhìshǎo,"leastwise, leastways, at (the) least, at_least, only, fully, even a little, at least, at any rate, in the least, at least, at the least"
65,看法,kànfǎ,"side, view, mentality, idea, outlook, a way of looking at a thing, opinion, thought, sight, standpoint, hypothesis, attitude, hobbyhorse, viewpoint, possibility, theory, slant, pronouncement, way of looking at sth., thinking, supposition, supposal"
66,原本,yuánběn,"originally, formerly"
67,措施,cuòshī,"measure, demarche, corrective, move, step"
68,表现,biǎoxiàn,"show, display, show off"
69,社团,shètuán,"gild, college, lodge, association, organization, club, body of persons, society, mass organization, order, league, guild, confraternity, corporation"
70,九,jiǔ,det.: nine
71,展开,zhǎnkāi,"spread out, unfold, open up, launch, develop"
72,如,rú,"be like, measure up to"
73,博士,bóshì,"Ph.D, master of any trade/craft, master of any craft, Dr., holder of doctoral degree, master of any trade, Erudite, doctoral, Doctor_of_Philosophy, Ph.D., court academician, craft, ""Erudite"", Doctor of Philosophy, doctor"
74,道路,dàolù,"track, path, runway, steps, route, course, toby, road, thoroughfare, way"
75,竟,jìng,unexpectedly
76,项目,xiàngmù,"event, head, item, particular, article, point, specific, entry, listing, clause, project"
77,需,xū,need
78,学院,xuéyuàn,"seminary, college, school, hall, institute, academy, faculty"
79,代表,dàibiǎo,"represent, indicate"
80,同意,tóngyì,"agree, consent, approve"
81,原住民,yuánzhùmín,aborigine
82,策略,cèluè,"coup, resource, enginery, wile, stratagem, gambit, practice, plant, diplomacy, artifice, trap, twist, tactical manoeuver, policy, game, mechanism, game plan, ambush, chicanery, finesse, lying in wait, maneuvering, joker, tactics, gimmick, manoeuvering, plan, device, art, tactical maneuver, maneuver, measure, play, tactic, manoeuvre, mechanics, tack, ambuscade, trickery, strategy, setup, r"
83,白,bái,"white, clear, pure, plain, wrongly written/mispronounced,"
84,平均,píngjūn,average
85,所,suǒ,"place, office, bureau, institute"
86,靠,kào,depend/rely on
87,互相,hùxiāng,"mutual, each other, mutually, one another, reciprocally"
88,地位,dìwèi,"station, estate, importance, appointment, character, footing, capacity, chair, estate of the realm, level, situation, status, standing, position, spot, connection, space, sphere, quality, place, condition"
89,体育,tǐyù,"training, physical education, athletics, sports, gymnastic, physical_education, physical training, physical culture, physical education/training, gym"
90,样,yàng,m.[kind]
91,亚洲,yǎzhōu,"Orient, Asian, Asia"
92,采取,cǎiqǔ,"operate, assume, adopt, accept, strike, take, take up, take over, borrow"
93,日,rì,m.[standard]
94,毕业,bìyè,"graduate, finish school"
95,相同,xiāngtóng,"be identical/alike, uniform, be identical, overlap, alike, identical, be alike"
96,欣赏,xīnshǎng,"appreciate, enjoy, admire"
97,法律,fǎlù,"constitution, juridical, legal, jus, judiciary, statute law, law, codex, legislation, jurisprudence, lex, code, Themis, statute, judicial, practice of law, prescript, forensic, natural law"
98,词,cí,"vocable, words, phrase, a kind of poetry originating in Tang dyn, statement, a form of classical poetry, part of speech, speech, Ci, Chinese poetry, term, word"
99,大型,dàxíng,large-size (machines/factories/etc.)
100,中华,zhōnghuá,"the Chinese nation, China"
101,台大,táidà,"National Taiwan University, National Taiwan University Hospital"
102,意思,yìsī,"significance, token of infection, intention, interest, idea, trace, meaning, thought, opinion, substance, etc., import, a token of appreciation/etc., indirect request, wish, a token of affection, desire, appreciation, fun, signification, gratitude, sense, hint, a token of affection/appreciation/etc., suggestion, mind, intent"
103,在一起,zàiyīqǐ,be togather
104,系,xì,be
105,持续,chíxù,"perennate, hang on, carry_over, persist, steady, keep, carry over, keep on, proceed, stretch, carry_on, retain, sustain, persevere, continuity, endure, stay, continue, hang in, hold, maintain, run, span, go on, run for, last, go along, exist, hold on"
106,群,qún,m.[general]
107,慢慢,mànmàn,slowly; gradually
108,高雄,gāoxióng,"Kaohsiung, a city in Taiwan, Gaoxiong, Kaohsiung(a city in Taiwan)"
109,制造,zhìzào,"make, manufacture, engineer, create, fabricate"
110,医疗,yīliáo,"treat, cure"
111,邀请,yāoqǐng,invite
112,满足,mǎnzú,"fulfill, fit, cope with, fill, be satisfied/contented, gloat, contented, arrive, be satisfied, satisfy, sate, gratify, serve, meet, appease, replete, supply, satisfied, fulfill, suffice, assuage, satiate, content, be contented, conform to, suit, match"
113,速度,sùdù,"pacing, wings, rate, quickness, fastness, velocity, swiftness, lick, pace, rapidity, speed, career, tempo"
114,重点,zhòngdiǎn,"taproot, accent, emphasis, focal point, point, keystone, hinge, salient point, stress, gravity"
115,保存,bǎocún,"preserve, conserve, keep"
116,评估,pínggū,"estimate, evaluate"
117,限制,xiànzhì,restrictiveness
118,符合,fúhé,"fulfil, conform, fit, tally with, fill, come_up_to, cohere, satisfy, accord, coincide, assort, equate, answer, tally, consist, meet, be in keeping with, chime_in, fulfill, look, accord/tally with, relate, chime, live up to, square, accord with, conform to, correspond"
119,利益,lìyì,"privilege, profit, vantage, favor, interest, behoof, account, goodness, gain, increment, avail, boon, plus, commodity, lucre, advantage, stead, boot, benefit, welfare, good, asset, behalf, percentage, stake, favour"
120,组成,zǔchéng,"form, make up (into), compose"
121,检查,jiǎnchá,"check, inspect, examine"
122,看见,kànjiàn,"seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of, catch sight of"
123,瞭解,liǎojiě,"understand, comprehend, find out, acquaint oneself with"
124,立刻,lìkè,"in a short time, at_once, promptly, offhand, at once, anon, instantly, straightway, now, slapbang, pronto, right_away, immediately, without delay, right away, forthwith, presto, at a time, before long, in a minute, swith, directly, in no time, incontinent, subito, without_delay, in real time, shortly, tout-de-suite, away, soon, presently, in a few seconds, very fast, chop-chop, at o"
125,女儿,nǔér,"daughter, girl"
126,数,shù,det.: several
127,上课,shàngkè,"attend class, go to class;give lesson/lecture"
128,整合,zhěnghé,integrate
129,更多,gèngduō,det.: more
130,唯一,wéiyī,"sole, one and only, only, unique"
131,人数,rénshù,number of people
132,的确,díquè,"certainly, surely"
133,主题,zhǔtí,"motif, lemma, musical theme, theme, thesis, idea, literary argument, argument, motive, leitmotiv, matter, subject_matter, keynote, issue, subject, topic, mythos, melodic theme"
134,用户,yònghù,"customer, subscriber, enjoyer, user, consumer"
135,快速,kuàisù,"expeditious, high-speed, fast, rapid, clip"
136,设施,shèshī,"installation, facilities"
137,文学,wénxué,"literary, philology, letters, letter, literature"
138,步,bù,m.[activity]
139,那里,nàlǐ,that place
140,到,dào,conj.: to
141,美,měi,"beautiful, pretty"
