,Simplified,Pinyin,Meaning
0,一,yī,det.: one 
2,在,zài,"in, at, on, etc. "
4,有,yǒu,"have, possess"
5,个,gè,"piece, item "
7,我,wǒ,"I, me, ego, self "
9,不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix "
11,这,zhè,"now, this, det.: this, it* Audio"
13,他,tā,"he, she, it, they (referring to inanimate things in object position) "
15,也,yě,"also, too, as well, either, even "
17,就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation"
18,人,rén,"person, people "
20,都,dōu,"all, even, already"
21,说,shuō,"speak, talk, explain, scold "
23,而,ér,conj.: and yet
24,们,men,plural marker for personal pronouns or for nouns referring to people
25,你,nǐ,you 
27,了,le,partic: indicating new situation or compted action 
29,要,yào,"want, need, must, should "
31,会,huì,"to be able, can, will, to meet "
33,对,duì,"correct, true, toward "
35,及,jí,"to reach, to catch up, and "
37,和,hé,"and, with, gentle, peaceful"
38,与,yǔ,"and, together with, to give"
39,以,yǐ,"using, taking, from a point on, because of"
40,很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
41,种,zhǒng,m.[kind] 
43,的,de,particle: emphasizing an action/situation
44,大,dà,"great, macro, old, very, vast, tall, big, high, much"
45,能,néng,can or to be capable of
46,着,zhe,[aspect]
47,她,tā,"she, her, she (neologism for {1ta1}[2]), )"
48,那,nà,det.: that
49,上,shàng,"on, above "
51,但,dàn,"conj.: but, yet, still, nevertheless, only, merely "
53,年,nián,year 
55,还,hái,"still, yet, also, too, as well, besides"
56,可以,kěyǐ,"can, may"
57,最,zuì,"most, to the highest degree, much, superlatively"
58,自己,zìjǐ,"lonesome, number_one, own, ego, self, oneself, name"
59,为,wéi,by
60,来,lái,"come, arrive "
62,所,suǒ,that which
63,他们,tāmen,they
64,两,liǎng,"det.: two, both (sides), either (side), a few, some "
66,各,gè,"det.: each, every "
68,可,kě,"can, may "
70,为,wéi,"be, become"
71,或,huò,"conj.: or, either or "
73,好,hǎo,good 
75,等,děng,"conj.: and so on, etc "
77,又,yòu,"again, moreover"
78,将,jiāng,be about to 
80,因为,yīnwèi,"conj.: because, for, on account of"
81,于,yú,"in, at, to, from, out of, by"
82,由,yóu,"from, via, by, through, owing/due to"
83,从,cóng,"from, since, through "
85,更,gèng,"more, still/even more, further, furthermore "
87,被,bèi,by 
89,才,cái,"then and only then, just now, only (before a number) "
91,已,yǐ,already
92,者,zhě,"nominal suffix, one who, -er"
93,每,měi,det.: every 
95,次,cì,"order, sequence, next "
97,把,bǎ,indicating pre-verbal object as thing dealt with by the action 
99,三,sān,det.: three 
101,什么,shénme,"anything, what"
102,问题,wèntí,"problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang-up, business, quaere"
103,其,qí,"det.: its, his, her, their, it, this, that "
105,让,ràng,"allow, induce sb. to do sth. "
107,此,cǐ,"this, det.: this, here"
108,做,zuò,"make, do "
110,再,zài,"again, once more, further(more), in a higher degree, and then, not (do sth.) before "
112,所以,suǒyǐ,"conj.: so, therefore, as a result"
113,只,zhǐ,"only, merely "
115,则,zé,"then, in that case"
116,台湾,Táiwān,Taiwan táiwān
118,却,què,"however, but, yet, indeed"
119,并,bìng,"to be side by side, simultaneously, and "
121,位,wèi,"location, digit, m.[general], , status, figure, throne, position, place, condition "
123,想,xiǎng,"think, suppose, reckon, consider, want to, would like to, feel like (doing sth.) "
125,去,qù,"to go, to leave, in order to "
127,呢,ne,particle: marking quesitons about subject already mentiod; indicating strong affirmation
128,学生,xuéshēng,"academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student"
129,表示,biǎoshì,"demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken"
130,到,dào,up until 
132,公司,gōngsī,"place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation"
133,将,jiāng,introducing object of main verb 
135,如果,rúguǒ,conj.: if 
137,社会,shèhuì,"community, society, monde, social, public"
138,看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit "
140,小,xiǎo,"small, little, petty, minor;young "
142,天,tiān,"sky, heaven "
144,因此,yīncǐ,"conj.: therefore, consequently"
145,新,xīn,"new, fresh, up-to-date "
147,但是,dànshì,"conj.: but, however, yet, still"
148,它,tā,"they (neologism for {1ta1}[3] [4]), [4]), ), this, that, it"
149,中,zhōng,"center, middle, interior "
151,使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro"
152,工作,gōngzuò,"work, job"
153,全,quán,"det.: all, Surname, whole, Quan "
155,觉得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive"
156,使用,shǐyòng,"use, employ, apply"
157,这些,zhèxiē,det.: these
158,里,lǐ,inside 
160,并,bìng,"actually, truly "
162,由于,yóuyú,conj.: owing/due/thanks to
163,时候,shíhòu,"day, moment, (a point in) time, (duration of) time, time"
164,知道,zhīdào,"tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize"
165,这样,zhèyàng,"so, such, like this, this way"
166,一,yī,as soon as 
168,认为,rènwéi,"find, treat, deem, suppose, look_on, repute, discount, esteem, accredit, feel, account, calculate, estimate, take to be, reckon, expect, think, hold, trust, recognise, opine, sound off, adjudge, consideration, consider, regard as, look upon, believe_in, disbelieve, allow, conceive, regard, call, imagine, view, forecast, believe, suspect, rate, animadvert, look on, listen, speak up, figure, c"
169,时间,shíjiān,"moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy"
170,事,shì,"responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter "
172,过,guò,[aspect] 
174,向,xiàng,"to, towards "
176,可能,kěnéng,"probably, maybe"
177,中国,Zhōngguó,"Cathay, China, china"
178,美国,Měiguó,"House_of_Representatives, the United States of America, US, U.S.A., bench, Columbia, Yankeeland, U.S., United States, Democrat, Yankeedom, USA, America, United States of America"
179,到,dào,"arrive, reach, go to "
181,和,hé,together) with
182,几,jǐ,"det.: how many, a few, several, some "
184,系统,xìtǒng,"lineage, filiation, scheme, pedigree, system, formation, superstructure, programme, organization, succession, tract, system of rules, organisation, program"
185,政府,zhèngfǔ,"sirkar, state, country, nation, governmental, body politic, government, administration, civil order, polity, commonwealth, regime, res publica, land"
186,大家,dàjiā,"sundry, great master, rich and influential family, pontiff, all of us, everyone, authority, master, distinguished family"
187,国家,guójiā,"sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica"
188,许多,xǔduō,"lot, scores, lots, sight, pot, heap, quantity, plenty, slews, ton, battalion, many, scads, tidy sum, power, spate, chunk, pile, crowd, vastness, batch, lashings, whole lot, mint, mound, pocketful, large number, trunkful, ream, mickle, great deal, flock, mass, slew, heaps, a lot of, piles, whole slew, mess, raff, slue, gobs, much, lotta, multitude, volume, wad, store, raft, tons, satiety, rafts, doze"
189,生活,shēnghuó,"life, existence, livelihood"
190,跟,gēn,"with, to, from "
192,已经,yǐjīng,already
193,大学,dàxué,"university, college"
194,研究,yánjiù,"study, research"
195,因,yīn,"conj.: because, as "
197,本,běn,det.: this 
199,二,èr,"det.: two, second"
200,活动,huódòng,"activity, maneuver, behavior"
201,该,gāi,"det.: this, that "
203,世界,shìjiè,"mundane, creation, world, monde, orb, nature, domain"
204,应,yīng,"should, ought to"
205,四,sì,det.: four
206,希望,xīwàng,"hope, wish"
207,方式,fāngshì,"path, plan, pattern, tenor, system, method, manner, style, way, guise, fashion, wise, means, shape, how, embodiment, agency, gate, mode, sort"
208,内,nèi,inside 
210,项,xiàng,m.[general] 
212,啊,ā,particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation 
214,下,xià,under (condition/fact etc.) 
216,环境,huánjìng,"circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience"
