,Simplified,Pinyin,Meaning
0,校门,xiàomén,school gate
1,复句,fùjù,sentence of two or more clauses
2,率,shuài,"lead, command"
3,诊所,zhěnsuǒ,clinic
4,准则,zhǔnzé,"guideline, formula, principle, practice, norm, rule of thumb, standard, verity, criterion, canon, touchstone, basis, guidepost, maxim"
5,画展,huàzhǎn,"art/paintings exhibition, art_exhibition, exhibition of paintings, art exhibition, art, paintings exhibition"
6,绝望,juéwàng,"give up all hope, despair"
7,期刊,qíkān,"journal, bulletin, periodical"
8,裁判,cáipàn,"judge, referee, umpire"
9,妇人,fùrén,married woman
10,神祕,shénmì,"mysterious, mystical"
11,荒谬,huāngmiù,"absurd, preposterous"
12,理会,lǐhuì,"understand, comprehend, take notice of, pay attention to"
13,院子,yuànzi5,"patio, court, courtyard, yard, compound"
14,全身,quánshēn,"mutton, the whole body, em, whole body, mut"
15,罢工,bàgōng,go on strike
16,仰赖,yǎnglài,"look_to, rely_on, lie, lean, cling, rely on, repose_on, rest"
17,绝望,juéwàng,"give up all hope, despair"
18,佈置,bùzhì,"arrange, fix up, assign"
19,更改,gēnggǎi,"change, alter"
20,佈置,bùzhì,"arrange, fix up, assign"
21,幼虫,yòuchóng,"nit, embryo, grub, larva"
22,瓦解,wǎjiě,"disintegrate, collapse"
23,入境,rùjìng,enter a country
24,古董,gǔdǒng,"old fogey, curio, antique, virtu, vertu, bygone, bric-a-brac"
25,苏,sū,"short for Suzhou, short for Jiangsu province, short for former Soviet Union"
26,严厉,yánlì,"stern, toughen, maul, severe"
27,识,shì,"know, recognize"
28,禅师,chánshī,"honorific title for a Buddhist monk, Zen master"
29,蔡,cài,"Cai, Surname"
30,闢,pì,"open/set up, start, build"
31,差点,chādiǎn,almost
32,健保,jiànbǎo,National Health Insurance
33,美化,měihuà,"beautify, embellish"
34,表格,biǎogé,"tabular array, tabulation, table, form, blank, tabular matter"
35,穿着,chuānzhuó,"dress, apparel"
36,建档,jiàndǎng,place on file
37,思维,sīwéi,"thought, thinking"
