,Simplified,Pinyin,Meaning
0,车程,chēchéng,mileage
1,席,xí,m.[general]
2,郊遊,jiāoyóu,"outing, excursion"
3,侵蚀,qīnshí,"corrode, erode"
4,郊遊,jiāoyóu,"outing, excursion"
5,出口,chūkǒu,exit
6,元帅,yuánshuài,"marshal, supreme commander"
7,外语,wàiyǔ,foreign language
8,大势,dàshì,"general trend, general trend of events"
9,升等,shēngděng,go up (in grade/etc.)
10,工商,gōngshāng,industry and commerce
11,上空,shàngkōng,"in the sky, overhead"
12,久久,jiǔjiǔ,"for a long, long time, for a long long time"
13,不复,búfù,"no more, no longer, more"
14,礼貌,lǐmào,"courtesy, politeness, manners"
15,读取,dúqǔ,access
16,稳定性,wěndìngxìng,"stability, stabilization"
17,工学院,gōngxuéyuàn,"institute of polytechnic, college of engineering, polytechnic"
18,生物学,shēngwùxué,biology
19,大使,dàshǐ,"elchee, embassador, ambassadorial, nuncio, ambassadorship, ambassador"
20,出狱,chūyū,get out of jail
21,用意,yòngyì,"intention, purpose"
22,北医,běiyī,Taipei Medical College
23,内湖,nèihú,Nei hu
24,二来,èrlái,conj.: in the second place
25,口水,kǒushuǐ,"spit, slobber, drivel, spittle, saliva, slaver, drool, dribble"
26,颠覆,diānfù,"overturn, subvert"
27,叙述,xùshù,"consideration, delineation, depiction, description"
28,专人,zhuānrén,person specially assigned for a task/job
29,闭,bì,"shut, stop, close, stop up, obstruct, switch off, obstruction, turn off, seel"
30,排放,páifàng,"discharge, drain off (gas/etc.)"
31,马达,mǎdá,motor
32,气味,qìwèi,"tang, wind, odor, savor, aurae, tint, flavor, leavening, savour, flavour, leaven, odour, aura, smatch, tinge, smell, smack, scent, taste"
33,效力,xiàolì,effect
34,高尔夫球,gāoěrfūqiú,golf ball
35,终点,zhōngdiǎn,"terminal point, destination, finish line"
36,教职员,jiàozhíyuán,teaching and administrative staff
37,桌椅,zhuōyǐ,ordinary household furniture
38,除去,chúqù,eliminate
39,卷入,juǎnrù,"be drawn into, be involved in"
40,高贵,gāoguì,"noble, high"
41,得多,de5duō,more
42,连署,liánshǔ,"countersign, cosignatory, sign jointly, cosign"
43,探望,tànwàng,"look about, visit"
44,动乱,dòngluàn,"turmoil, upheaval, disturbance"
45,追随,zhuīsuí,follow
46,音效,yīnxiào,sound effects
47,治理,zhìlǐ,"administer, govern, bring under control, put in order"
48,拖延,tuōyán,"delay, put off"
49,标签,biāoqiān,"mark, ticket, gummed label, tab, markup, sticker, label, tally, tag"
50,噁心,ěxīn,"vomit, keck, retch, turn sick, feel nauseated, nauseous, sicken, disgusting"
51,排放,páifàng,"discharge, drain off (gas/etc.)"
52,就学,jiùxué,attend school
53,涨价,zhǎngjià,rise in price
54,导入,dǎorù,introduce
55,记忆,jìyì,"remember, recall"
56,智障,zhìzhàng,retarded
57,闻,wén,hear
58,称呼,chēnghū,"call, address"
59,就学,jiùxué,attend school
60,进驻,jìnzhù,enter and garrison or be stationed
61,汇整,huìzhěng,"collect, gather"
62,悲惨,bēicǎn,"tragic, pathetic, miserable"
63,逼近,bījìn,"press on towards, approach"
64,雇主,gùzhǔ,"gaffer, beanfeast, master, governor, boss, employer, hirer"
65,新郎,xīnláng,"groom, bridegroom"
66,温泉,wēnquán,"hot_spring, watering_place, thermae, thermal spring, hot spring"
67,维也纳,wéiyěnà,"capital of Austria, Austrian capital, Vienna"
68,落下,luòxià,fall/lag behind
69,农产品,nóngchǎnpǐn,"agricultural products, farm produce"
70,喜剧,xǐjù,"Thalia, comedy, sock"
71,聘,pìn,"engage, invite"
72,脑部,nǎobù,head
73,痛心,tòngxīn,"lacerate, pained, harrowing, grieved, distressed, deplore"
74,逼近,bījìn,"press on towards, approach"
75,落入,luòrù,fall in
76,碎,suì,"break to pieces, break ... to pieces, garrulous, smash, knap, crumble, gabby, fragmentary, batter, broken"
77,散文,sǎnwén,prose
78,指向,zhǐxiàng,"head, point to, hold, point, maneuver, direct, steer, gear, pitch, manouevre, guide"
79,修正案,xiūzhēngàn,"revised draft, amendment"
80,空运,kōngyùn,air transport
81,爬上,páshàng,"get on, bestride, jump on, climb, mount up, hop on, mount, clamber, get_on, climb on"
82,哈萨克,hāsàkè,"Kazakhstan, Kazak nationality, Kazakh, Kazak(h) ethnic minority (in NW China and former USSR), Kazakstan, Kazak"
83,肥胖,féipàng,"fat, corpulent"
84,返乡,fǎnxiāng,return to one's native place
85,肥胖,féipàng,"fat, corpulent"
86,个子,gèzi5,"height, stature, build"
87,辛劳,xīnláo,toil
88,防卫,fángwèi,defend
89,抛弃,pāoqì,"dispose, cast aside, toss away, toss, lurch, throw out, put away, reject, abandonment, chuck, ditch, jettison, slough, renounce, flee, throw away, give up, desert, cast out, desolate, doff, chuck_out, fling, jilt, forgo, chuck out, discard, abandon, toss out, cast away, forsake"
90,好评,hǎopíng,"reputation, high opinion, favorable comment, conceit, favorable review, esteem"
91,快活,kuàihuó,"merry, cheerful, liven, jaunty, jolly, brighten, happy"
92,延揽,yánlǎn,recruit talent
93,依序,yīxù,"in_order, in turn, sequentially, consecutive, in proper order"
94,辛劳,xīnláo,toil
95,延揽,yánlǎn,recruit talent
96,扶,fú,"support, straighten ... up, support with the hand, place a hand on, help sb. up, relief, relieve, straighten sth. up, help ... up, help, support with hand"
97,字符,zìfú,"word-symbol, character"
98,佳人,jiārén,"looker, peach, knockout, mantrap, dish, sweetheart, lulu, beautiful woman, stunner, beauty, sparkler, smasher"
99,步入,bùrù,"go into, walk into"
100,利器,lìqì,"sharp weapon, good tool, efficient instrument"
101,花样,huāyàng,"pattern, variety"
102,好用,hǎoyòng,practical
103,名片,míngpiàn,"visiting_card, calling card, card, pasteboard, visiting card, carte, namecard, calling_card, visiting"
104,拖延,tuōyán,"delay, put off"
105,相片,xiàngpiàn,"exposure, print, semblance, likeness, photo, photograph, photographic print"
106,返乡,fǎnxiāng,return to one's native place
107,茁壮,zhuózhuàng,"build_up, sturdy, build up"
108,指控,zhǐkòng,"accuse, charge"
109,拍片,pāipiàn,"shoot a film, film, shooting, shoot film"
110,香烟,xiāngyān,"cigarette, incense smoke"
111,南投县,nántóuxiàn,Nantou County
112,致命,zhìmìng,"take off, fatal, deadly, mortal"
113,空运,kōngyùn,air transport
114,欣慰,xīnwèi,"delighted, be gratified"
115,穿越,chuānyuè,"cut, pass through, cut across, cross"
116,小弟,xiǎodì,"little brother, male waiter"
117,月经,yuèjīng,"period, catamenia, curse, menstruous, menstrual, menses, emmenia, menstruation, monthly, flow, turn"
118,公私立,gōngsīlì,publicly and privately run
119,公害,gōnghài,"public nuisance, nuisance, social effects of pollution, environmental pollution"
120,共襄盛举,gòngxiāngshèngjǔ,assist something together
121,再三,zàisān,"repeatedly, again and again, over and over again, thrice, time and again"
122,不须,bùxū,"need not, not have to"
123,出狱,chūyū,get out of jail
124,大四,dàsì,"fourth year class, upper class"
125,公众,gōngzhòng,"community, the public, masses, the people, public"
126,人民币,rénmínbì,"RMB, PRC currency"
127,撤销,chèxiāo,"cancel, rescind, revoke"
128,鼻咽癌,bíyānyán,"nasopharyngeal darcinoma, rhinopharyngocele"
129,德州,dézhōu,"Lone-Star State, Texas, Dezhou"
130,扑,pū,"pat, attack, throw oneself at, rush at, tap, beat, dab, bend over, pounce on, lie_down, throw oneself on, flap, flutter, fling self at"
131,撤销,chèxiāo,"cancel, rescind, revoke"
132,凭藉,píngjiè,rely/depend on
133,头顶,tóudǐng,"crown of head, head, crown, top/crown of head, top of head, top, vertex, calvaria, pate, poll"
134,涨价,zhǎngjià,rise in price
135,小心翼翼,xiǎoxīnyìyì,"with great care, cautiously"
136,公吨,gōngdùn,m.[standard]
137,滥用,lànyòng,"abuse, misuse"
138,凭藉,píngjiè,rely/depend on
139,摘要,zhāiyào,"summary, abstract"
140,出卖,chūmài,"sell_out, traffic, sell out, barter_away, peach, sell sb. down the river, lead astray, betray, sell, betrayal, go_back_on, offer for sale, double-cross, deceive"
141,坏,huài,"bad, evil, harmful"
142,论语,lúnyǔ,"{The Analects}, {The (Confucian) Analects}, The Analects of Confucius"
143,凭藉,píngjiè,rely/depend on
144,宠物,chǒngwù,pet
145,购置,gòuzhì,purchase (durables)
146,怀抱,huáibào,"ambition, embrace"
147,双打,shuāngdǎ,"foursome, doubles"
148,归属,guīshǔ,belong to
149,镇民,zhènmín,"burgess, villager, townsman, townsfolk, town, towner, townee, burgher, townspeople"
150,转播,zhuǎnbò,relay (radio/TV broadcast)
151,转动,zhuǎndòng,"turn (round), move"
152,不忍,bùrěn,cannot bear to
153,系,xì,gird
154,干扰,gānrǎo,"interference, jam"
155,考绩,kǎojī,merit
156,不觉,bùjué,"unconsciously, unaware"
157,入选,rùxuǎn,"select, be selected, be chosen"
158,出家,chūjiā,"become nun, cloister, nun, become a monk or nun, become monk"
159,会计师,kuàijìshī,"controller, comptroller, chartered accountant, accountant"
160,损害,sǔnhài,"injury, damage"
161,请来,qǐnglái,invite
162,趁机,chènjī,"seizing the chance, take advantage of occasion, taking advantage of the occasion, seize chance"
163,资本额,zīběné,capitalization
164,新颖,xīnyǐng,"new and original, novel"
165,歌迷,gēmí,"lover of song, fan of a singer"
166,码,mǎ,m.[standard]
167,声势,shēngshì,"prestige and power, impetus, fame and influence, momentum"
168,总额,zǒngé,"gross, sum, rental, total, sum total, totality, amount"
169,闻到,wéndào,"scent, perceive by smelling, wind, nose, smell"
170,惯例,guànlì,"custom, pattern, practice, manner, tradition, routine, law, wont, habit, codex, ritual, convention, convenance, consuetude, usual practice, rule, use, observance, institution, modus operandi, precedent, conventionality, rite, praxis, natural law"
171,漠视,mòshì,"treat as unimportant, ignore"
172,踏入,tàrù,"tread, step, step on"
173,新闻系,xīnwénxì,Department of Journalism
174,鹿,lù,"cervine, deer, European elk, elk, moose, Alces alces, cervid"
175,萧,xiāo,"Xiao, Surname"
176,谋,móu,"stratagem, plan, scheme, plot, consult, discuss, seek, work for"
177,谈恋爱,tánliànài,"be courting, court, talk love, woo"
178,煤,méi,"firing, coal"
179,日光,rìguāng,"day, visible radiation, daylight, sunlight, sunbeam, light, sunray, lighting, visible light, Nikko"
180,漠视,mòshì,"treat as unimportant, ignore"
181,气体,qìtǐ,"exhaust, fume, gaseous, gas, exhaust fumes, pneumatic, gaseity, mofette, fumes"
182,旅途,lǔtú,"way, travel, route, traveling, travelling, trip, journey"
183,索引,suǒyǐn,"caption, index"
184,发炎,fāyán,"inflame, inflammation, inflamed"
185,创办,chuàngbàn,"found, launch, establishment, set up, establish"
186,无力感,wúlìgǎn,powerlessness
187,圣歌,shènggē,"anthem, chorale, hymnody"
188,解剖,jiěpǒu,dissect
189,队长,duìzhǎng,"captain, chieftain, skipper, police chief, header, headman, commandant, police captain, sirdar, team leader"
190,新婚,xīnhūn,be newly-married
191,轻微,qīngwéi,"light, trifling, trivial"
192,复甦,fùsū,"resuscitate, recover"
193,债务,zhàiwù,"debt, liabilities"
194,遍及,biànjí,"extend/spread all over, pervade"
195,超级市场,chāojíshìchǎng,supermarket
196,赚取,zhuànqǔ,"procure, gain, make profit, get, acquire, earn"
197,工读生,gōngdúshēng,reform school student
198,出租,chūzū,"hire, let, rent"
199,中风,zhòngfēng,"apoplectic, suffer from a stroke of apoplexy, have a stroke"
200,生化,shēnghuà,"hydrocortisone, lysine, biosynthesis, calciferol, biogenesis, phenylalanine, amylase, albumin, collagen, lipoprotein, choline, catalase, autolysis, biochemistry, nucleotide, citrin, androsterone, actin, androgen"
201,文凭,wénpíng,diploma
202,出租,chūzū,"hire, let, rent"
203,于,yū,"in, at; to, from, out of, by"
204,下滑,xiàhuá,"fall, decline, decrease"
205,趋于,qūyū,"incline to, trend, tend towards, tend"
206,毛巾,máojīn,"washcloth, flannel, Turkish towel, face towel, face cloth, hand_towel, towel, washrag, napkin, terry towel, hand towel"
207,蓝天,lántiān,blue sky
208,声明,shēngmíng,"state, announce"
209,议论,yìlùn,"debate, discuss"
210,谴责,qiǎnzé,"condemn, denounce, censure"
211,蜡烛,làzhú,candle
212,变更,biàngēng,modification
213,侦测,zhēncè,"reconnoiter, scout, pry"
214,城隍爷,chénghuángyé,city god
215,小屋,xiǎowū,"shiel, hut, shack, cot, little house, shieling, maisonnette, lodge, cabin, hovel, cottage, cabana, bungalow, shebang, chalet, coop, gunyah, tupik, maisonette, hutch, hunting lodge, doghouse, loge, shanty, shed"
216,占有,zhànyǒu,"own, have, occupy, hold"
217,旗,qí,"banner, emblem"
218,台电,táidiàn,Taiwan Power Company
219,积,jī,"accumulate, amass, accumulation, store up"
220,文艺复兴,wényìfùxīng,"renascence, Renaissance, renaissance, revival, rebirth"
221,生下来,shēngxiàlái,birth
222,曲折,qūzhé,"tortuous, winding, complicated"
223,加油站,jiāyóuzhàn,"pit, petrol_station, filling station, gasoline station, filling_station, gas station, gas_station, petrol station"
224,下滑,xiàhuá,"fall, decline, decrease"
225,乐队,yuèduì,"orchestra, dance orchestra, dance band, band"
226,出名,chūmíng,"lend one's name, out, fame, become well-known, become famous, famous, use the name of, be famous, well-known"
227,化,huà,"melt, dissolve, thaw, digest, remove, burn up, incinerate, disguise"
228,水沟,shuǐgōu,"slot, waste pipe, runnel, ditch, drainpipe, trough, thank-you-ma'am, racecourse, raceway, drain, gutter"
229,中古,zhōnggǔ,second-hand
230,主宰,zhǔzǎi,"dominate, dictate, decide"
231,玉器,yūqì,"jade object, jadeware, jade article"
232,主宰,zhǔzǎi,"dominate, dictate, decide"
233,占有,zhànyǒu,"own, have, occupy, hold"
234,地盘,dìpán,"site, territory, territory under one's control, domain, turf"
235,份,fèn,"share, portion"
236,求助,qiúzhù,"invoke, resort, seek help, recur, bring_in, turn to ... for help, appeal"
237,老实说,lǎoshíshuō,honestly
238,忠,zhōng,"loyal, devoted, faithful, honest"
239,身处,shēnchǔ,"dwell, be (in a certain condition)"
240,交叉,jiāochā,"cut, alternate, intercross, stagger, decussate, intersect, overlap, overlapping, intersection, cross, crisscross"
241,年画,niánhuà,"New Year picture, New Year pictures"
242,自尊,zìzūn,"self-worth, self-regard, pridefulness, pride, self-pride, self-respect, self-importance, self-esteem"
243,果园,guǒyuán,"arbour, garden, orchard"
244,有钱人,yǒuqiánrén,"millionaire, wealthy, better-to-do, have, the rich/wealthy, rich person, the wealthy, rich man, capitalist, wealthy man, plutocrat, rich, wealthy person, man of means, the rich"
245,两旁,liǎngpáng,"both sides, either side"
246,所在地,suǒzàidì,"site, location, address, presence, place, seat, on-site, locus, locality"
247,抹,mǒ,"brush/wipe off, exclude"
248,音节,yīnjié,"syllable, key, pitch"
249,流,liú,"flow, drift, wander"
250,弱点,ruòdiǎn,"Achilles' heel, soft spot, failing, weakness, underbelly, defect, foible, infirmity, weak_point, blot, frailty, drawback, Achilles'_heel, soft_spot, weak point, vulnerability"
251,前锋,qiánfēng,"pack, head, lineman, herald, cutting edge, antecedent, vanguard, forwards, linemen, forerunner, forefront, van, forward"
252,武装,wǔzhuāng,arm
253,石化,shíhuà,"lithification, petrification, petrochemical industry, petrifaction"
